id,name,category,brand,description,price,specs
51,Boxed Blender,kitchen-accessories,Generic,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",5399.00,"kitchen appliances, blenders"
52,Carbon Steel Wok,kitchen-accessories,Generic,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",4049.00,"cookware, woks"
53,Chopping Board,kitchen-accessories,Generic,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",1754.00,"kitchen tools, cutting boards"
54,Citrus Squeezer Yellow,kitchen-accessories,Generic,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,1214.00,"kitchen tools, juicers"
55,Egg Slicer,kitchen-accessories,Generic,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",944.00,"kitchen tools, slicers"
56,Electric Stove,kitchen-accessories,Generic,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,6749.00,"kitchen appliances, cooktops, portable"
57,Fine Mesh Strainer,kitchen-accessories,Generic,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,1349.00,"kitchen tools, strainers"
58,Fork,kitchen-accessories,Generic,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,539.00,"kitchen tools, utensils, ergonomic"
59,Glass,kitchen-accessories,Generic,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,674.00,"drinkware, glasses"
60,Grater Black,kitchen-accessories,Generic,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",1484.00,"kitchen tools, graters"
61,Hand Blender,kitchen-accessories,Generic,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",4724.00,"kitchen appliances, blenders"
62,Ice Cube Tray,kitchen-accessories,Generic,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,809.00,"kitchen tools, ice cube trays"
63,Kitchen Sieve,kitchen-accessories,Generic,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,1079.00,"kitchen tools, strainers"
64,Knife,kitchen-accessories,Generic,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",2024.00,"kitchen tools, cutlery, ergonomic"
65,Lunch Box,kitchen-accessories,Generic,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",1754.00,"kitchen tools, storage, portable"
66,Microwave Oven,kitchen-accessories,Generic,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",12149.00,"kitchen appliances, microwaves"
67,Mug Tree Stand,kitchen-accessories,Generic,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,2159.00,"kitchen tools, organization"
68,Pan,kitchen-accessories,Generic,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",3374.00,"cookware, pans"
69,Plate,kitchen-accessories,Generic,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,539.00,"dinnerware, plates"
70,Red Tongs,kitchen-accessories,Generic,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,944.00,"kitchen tools, tongs"
71,Silver Pot With Glass Cap,kitchen-accessories,Generic,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",5399.00,"cookware, pots"
72,Slotted Turner,kitchen-accessories,Generic,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",1214.00,"kitchen tools, turners"
73,Spice Rack,kitchen-accessories,Generic,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,2699.00,"kitchen tools, organization"
74,Spoon,kitchen-accessories,Generic,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",674.00,"kitchen tools, utensils, ergonomic"
75,Tray,kitchen-accessories,Generic,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",2294.00,"serveware, trays"
76,Wooden Rolling Pin,kitchen-accessories,Generic,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,1619.00,"kitchen tools, baking, wooden"
77,Yellow Peeler,kitchen-accessories,Generic,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,809.00,"kitchen tools, peelers"
78,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",269999.00,"laptops, apple, m1 pro, retina display"
79,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",242999.00,"laptops, dual screen"
80,Huawei Matebook X Pro,laptops,Huawei,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",188999.00,"laptops, touchscreen, portable"
81,Lenovo Yoga 920,laptops,Lenovo,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",148499.00,laptops
82,New DELL XPS 13 9300 Laptop,laptops,Dell,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",202499.00,"laptops, infinityedge display"
99,Amazon Echo Plus,mobile-accessories,Amazon,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,13499.00,"electronics, smart speakers"
100,Apple Airpods,mobile-accessories,Apple,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",17549.00,"electronics, wireless earphones, wireless"
101,Apple AirPods Max Silver,mobile-accessories,Apple,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",74249.00,"electronics, over-ear headphones"
102,Apple Airpower Wireless Charger,mobile-accessories,Apple,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,10799.00,"electronics, wireless chargers, wireless"
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,Apple,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,13499.00,"electronics, smart speakers"
104,Apple iPhone Charger,mobile-accessories,Apple,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,2699.00,"electronics, chargers"
105,Apple MagSafe Battery Pack,mobile-accessories,Apple,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,13499.00,"electronics, power banks, portable"
106,Apple Watch Series 4 Gold,mobile-accessories,Apple,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",47249.00,"electronics, smartwatches, retina display"
107,Beats Flex Wireless Earphones,mobile-accessories,Beats,"The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",6749.00,"electronics, wireless earphones, wireless"
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,4049.00,"electronics, phone accessories"
109,Monopod,mobile-accessories,TechGear,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",2699.00,"electronics, camera accessories, camera"
110,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.,2024.00,"electronics, selfie accessories, camera, portable"
111,Selfie Stick Monopod,mobile-accessories,SnapTech,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,1754.00,"electronics, selfie accessories, camera"
112,TV Studio Camera Pedestal,mobile-accessories,ProVision,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,67499.00,"electronics, camera accessories, camera"
121,iPhone 5s,smartphones,Apple,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",26999.00,"smartphones, apple"
122,iPhone 6,smartphones,Apple,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",40499.00,"smartphones, apple"
123,iPhone 13 Pro,smartphones,Apple,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",148499.00,"smartphones, apple, camera"
124,iPhone X,smartphones,Apple,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",121499.00,"smartphones, apple, oled, face id"
125,Oppo A57,smartphones,Oppo,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",33749.00,"smartphones, oppo"
126,Oppo F19 Pro Plus,smartphones,Oppo,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,53999.00,"smartphones, oppo, camera"
127,Oppo K1,smartphones,Oppo,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",40499.00,"smartphones, oppo"
128,Realme C35,smartphones,Realme,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,20249.00,"smartphones, realme"
129,Realme X,smartphones,Realme,The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.,40499.00,"smartphones, realme, camera"
130,Realme XT,smartphones,Realme,"The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",47249.00,"smartphones, realme, camera"
131,Samsung Galaxy S7,smartphones,Samsung,"The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",40499.00,"smartphones, samsung galaxy, camera"
132,Samsung Galaxy S8,smartphones,Samsung,"The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",6749.00,"smartphones, samsung galaxy, camera"
133,Samsung Galaxy S10,smartphones,Samsung,"The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",94499.00,"smartphones, samsung galaxy, amoled, camera, business productivity"
134,Vivo S1,smartphones,Vivo,"The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",33749.00,"smartphones, vivo, camera"
135,Vivo V9,smartphones,Vivo,"The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",40499.00,"smartphones, vivo, camera"
136,Vivo X21,smartphones,Vivo,"The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",67499.00,"smartphones, vivo, camera"
137,American Football,sports-accessories,Generic,"The American Football is a classic ball used in American football games. It is designed for throwing and catching, making it an essential piece of equipment for the sport.",2699.00,"sports equipment, american football"
138,Baseball Ball,sports-accessories,Generic,"The Baseball Ball is a standard baseball used in baseball games. It features a durable leather cover and is designed for pitching, hitting, and fielding in the game of baseball.",1214.00,"sports equipment, baseball"
139,Baseball Glove,sports-accessories,Generic,"The Baseball Glove is a protective glove worn by baseball players. It is designed to catch and field the baseball, providing players with comfort and control during the game.",3374.00,"sports equipment, baseball"
140,Basketball,sports-accessories,Generic,"The Basketball is a standard ball used in basketball games. It is designed for dribbling, shooting, and passing in the game of basketball, suitable for both indoor and outdoor play.",2024.00,"sports equipment, basketball"
141,Basketball Rim,sports-accessories,Generic,The Basketball Rim is a sturdy hoop and net assembly mounted on a basketball backboard. It provides a target for shooting and scoring in the game of basketball.,5399.00,"sports equipment, basketball"
142,Cricket Ball,sports-accessories,Generic,"The Cricket Ball is a hard leather ball used in the sport of cricket. It is bowled and batted in the game, and its hardness and seam contribute to the dynamics of cricket play.",1754.00,"sports equipment, cricket"
143,Cricket Bat,sports-accessories,Generic,The Cricket Bat is an essential piece of cricket equipment used by batsmen to hit the cricket ball. It is made of wood and comes in various sizes and designs.,4049.00,"sports equipment, cricket, wooden"
144,Cricket Helmet,sports-accessories,Generic,"The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",6074.00,"sports equipment, cricket"
145,Cricket Wicket,sports-accessories,Generic,"The Cricket Wicket is a set of three stumps and two bails, forming a wicket used in the sport of cricket. Batsmen aim to protect the wicket while scoring runs.",4049.00,"sports equipment, cricket"
146,Feather Shuttlecock,sports-accessories,Generic,"The Feather Shuttlecock is used in the sport of badminton. It features natural feathers and is designed for high-speed play, providing stability and accuracy during matches.",809.00,"sports equipment, badminton"
147,Football,sports-accessories,Generic,"The Football, also known as a soccer ball, is the standard ball used in the sport of football (soccer). It is designed for kicking and passing in the game.",2429.00,"sports equipment, football"
148,Golf Ball,sports-accessories,Generic,"The Golf Ball is a small ball used in the sport of golf. It features dimples on its surface, providing aerodynamic lift and distance when struck by a golf club.",1349.00,"sports equipment, golf"
149,Iron Golf,sports-accessories,Generic,"The Iron Golf is a type of golf club designed for various golf shots. It features a solid metal head and is used for approach shots, chipping, and other golfing techniques.",6749.00,"sports equipment, golf"
150,Metal Baseball Bat,sports-accessories,Generic,The Metal Baseball Bat is a durable and lightweight baseball bat made from metal alloys. It is commonly used in baseball games for hitting and batting practice.,4049.00,"sports equipment, baseball"
151,Tennis Ball,sports-accessories,Generic,The Tennis Ball is a standard ball used in the sport of tennis. It is designed for bouncing and hitting with tennis rackets during matches or practice sessions.,944.00,"sports equipment, tennis"
152,Tennis Racket,sports-accessories,Generic,"The Tennis Racket is an essential piece of equipment used in the sport of tennis. It features a frame with strings and a grip, allowing players to hit the tennis ball.",6749.00,"sports equipment, tennis"
153,Volleyball,sports-accessories,Generic,"The Volleyball is a standard ball used in the sport of volleyball. It is designed for passing, setting, and spiking over the net during volleyball matches.",1619.00,"sports equipment, volleyball"
154,Black Sun Glasses,sunglasses,Fashion Shades,"The Black Sun Glasses are a classic and stylish choice, featuring a sleek black frame and tinted lenses. They provide both UV protection and a fashionable look.",4049.00,"eyewear, sunglasses"
155,Classic Sun Glasses,sunglasses,Fashion Shades,The Classic Sun Glasses offer a timeless design with a neutral frame and UV-protected lenses. These sunglasses are versatile and suitable for various occasions.,3374.00,"eyewear, sunglasses"
156,Green and Black Glasses,sunglasses,Fashion Shades,"The Green and Black Glasses feature a bold combination of green and black colors, adding a touch of vibrancy to your eyewear collection. They are both stylish and eye-catching.",47.00,"eyewear, sunglasses"
157,Party Glasses,sunglasses,Fashion Fun,"The Party Glasses are designed to add flair to your party outfit. With unique shapes or colorful frames, they're perfect for adding a playful touch to your look during celebrations.",2699.00,"eyewear, party glasses"
158,Sunglasses,sunglasses,Fashion Shades,The Sunglasses offer a classic and simple design with a focus on functionality. These sunglasses provide essential UV protection while maintaining a timeless look.,3104.00,"eyewear, sunglasses"
159,iPad Mini 2021 Starlight,tablets,Apple,"The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",67499.00,"electronics, tablets, retina display"
160,Samsung Galaxy Tab S8 Plus Grey,tablets,Samsung,"The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",80999.00,"electronics, tablets, amoled, android"
161,Samsung Galaxy Tab White,tablets,Samsung,"The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",47249.00,"electronics, tablets, android"
162,sujalll,laptops,Generic,,100.00,laptops
163,Laptop 1,laptops,Generic,This is a laptop that is well suited for business works like excel etc,1000.00,business productivity
